openness,conscientiousness,agreeableness,extraversion,neuroticism,descriptive,normative,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca_average,c/a,ao1,ao2,ao3,ao4,ao5,ao6,ao7,ao8,ao_average,a/o,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc_average,o/c,en1,en2,en3,en4,en5,en6,en7,en8,en_average,e/n,dn1,dn2,dn3,dn4,dn5,dn6,dn7,dn8,dn_average,d/n,age,extentfeminine,extentconservative,extenthumanities,extentcapitalism,gender,svo
844,662,894,446,354,614,186,50,4,82,50,75,50,39,74,53,0.74,29,50,97,26,50,3,50,25,41,1.059,5,75,4,50,50,24,28,50,36,1.275,4,100,0,0,50,74,100,26,44,1.26,24,8,3,25,50,24,2,50,23,3.3,18,98,25,74,70,0,37.482
1027,804,569,452,348,354,446,72,0,99,9,14,83,1,50,41,1.413,63,95,98,92,8,50,77,76,70,0.554,50,98,11,13,50,35,25,50,42,1.277,0,1,100,96,96,39,13,3,44,1.299,72,86,84,9,50,0,49,96,56,0.79,16,100,5,50,74,0,35.51
1095,747,558,421,379,470,330,26,25,12,47,6,74,28,88,38,1.339,76,89,74,100,45,100,0,64,69,0.51,23,74,30,2,0,23,37,64,32,1.466,26,0,100,0,50,75,41,87,47,1.111,9,64,47,0,58,64,0,88,41,1.42,17,15,50,50,88,1,37.482
931,624,845,502,298,368,432,37,79,85,65,48,18,83,37,57,0.738,67,73,46,31,21,66,35,68,51,0.908,39,77,0,24,5,73,16,42,35,1.492,75,69,32,27,31,24,20,20,37,1.685,78,18,61,34,62,19,94,66,54,0.85,16,87,20,92,46,0,31.855
690,921,789,501,299,622,178,50,0,87,50,64,26,14,86,47,1.167,50,50,62,62,50,50,0,64,49,1.143,50,76,100,50,14,73,85,50,62,0.749,50,50,25,26,22,50,50,26,37,1.676,0,50,50,10,28,15,25,0,22,3.49,17,50,50,63,50,1,-7.815
850,951,599,435,365,650,150,25,74,0,12,50,26,50,50,36,1.588,89,50,74,74,12,88,13,88,61,0.705,74,88,75,12,25,87,13,64,55,0.894,62,50,39,38,62,50,38,26,46,1.192,38,12,31,13,12,25,0,19,19,4.33,17,74,50,25,50,0,45
1004,646,750,368,432,439,361,50,75,14,85,74,24,26,74,53,0.861,55,62,60,73,38,85,24,75,59,0.747,33,71,16,27,18,28,50,25,34,1.554,59,50,76,80,86,14,50,17,54,0.852,50,91,83,26,37,33,15,26,45,1.22,17,0,70,39,80,1,30.188
978,657,765,359,441,371,429,29,76,86,56,41,41,35,26,49,0.859,26,36,70,70,18,87,59,59,53,0.782,26,56,35,7,10,22,74,17,31,1.489,30,90,66,56,74,34,83,8,55,0.814,65,84,49,91,30,14,14,82,54,0.86,17,79,19,63,69,0,51
761,1202,537,363,337,414,386,24,32,0,50,0,5,37,61,26,2.238,22,35,93,50,50,97,64,61,59,0.706,92,77,60,50,14,50,99,69,64,0.633,37,0,38,2,97,71,90,2,42,1.077,72,4,37,64,8,85,24,92,48,1.07,17,9,50,75,50,1,37.482
753,741,906,446,354,565,235,26,76,78,74,27,76,28,75,58,0.818,25,28,75,73,2,74,2,75,44,1.203,75,76,25,24,24,74,75,28,50,1.016,25,75,90,26,75,11,26,26,44,1.26,80,28,26,26,27,24,24,0,29,2.4,17,2,99,74,26,1,37.093
1113,632,655,489,311,452,348,46,13,84,50,77,40,20,50,48,0.965,79,84,81,87,0,94,12,88,66,0.588,26,93,0,0,18,0,50,25,27,1.761,50,100,11,7,50,36,50,7,39,1.572,50,75,29,4,39,29,39,83,44,1.3,17,50,50,77,57,0,39.56
